Localidad,Provincia,Auto_año,Tipo_de_auto,Marca,Modelo
Cordoba,Córdoba,2021,Sedan 5 puertas,Toyota,Etios
Cordoba,Córdoba,2002,Sedan 5 ptas,Volkswagen,Golf
Cordoba,Córdoba,2005,Sedan 5 ptas,Chevrolet,Meriva
Cordoba,Córdoba,2008,Sedan 5 ptas,Fiat,Uno
Villa maria,Córdoba,2008,Sedan 5 ptas,Fiat,Idea
Cordoba,Córdoba,2012,Sedan 5 ptas,Renault,Megane
Capital federal,Ciudad Autónoma de Bs.As.,2013,Sedan 5 puertas,Citroen,Nuevo
Cordoba,Córdoba,2015,Sedan 5 puertas,Volkswagen,High
Cordoba,Córdoba,2000,Sedan 5 ptas,Volkswagen,Golf
Corrientes,Corrientes,2018,Sedan 5 puertas,Chevrolet,Onix
Cordoba,Córdoba,2017,Sedan 5 puertas,Renault,Nuevo
Cordoba,Córdoba,2004,Sedan 5 ptas,Renault,Megane
Cordoba,Córdoba,2005,Sedan 5 ptas,Ford,Fiesta
Villa allende,Córdoba,2012,Sedan 5 ptas,Fiat,Uno
Villa allende,Córdoba,2013,Sedan 5 puertas,Volkswagen,Gol
Villa allende,Córdoba,2005,Sedan 5 ptas,Fiat,Uno
Cordoba,Córdoba,1998,Sedan 5 ptas,Renault,Laguna
Cordoba,Córdoba,2008,Sedan 5 ptas,Fiat,Uno
Cordoba,Córdoba,1999,Sedan 5 puertas,Volkswagen,Golf
Cordoba,Córdoba,2018,Sedan 5 puertas,Ford,Ka
Cordoba,Córdoba,2016,Sedan 5 puertas,Renault,Nuevo
Cordoba,Córdoba,2005,Sedan 5 ptas,Chevrolet,Astra
Cordoba,Córdoba,2014,Sedan 5 puertas,Citroen,Nuevo
Cordoba,Córdoba,2011,Sedan 5 ptas,Chery,Face
Cordoba,Córdoba,2005,Sedan 5 puertas,Volkswagen,Fox
Cordoba,Córdoba,2008,Sedan 5 ptas,Fiat,Uno
Jesus maria,Córdoba,2014,Sedan 5 puertas,Chevrolet,Celta
Capital federal,Ciudad Autónoma de Bs.As.,2009,Sedan 5 ptas,Chevrolet,Corsa
Capital federal,Ciudad Autónoma de Bs.As.,2012,Sedan 5 ptas,Nissan,Tiida
Capital federal,Ciudad Autónoma de Bs.As.,2006,Sedan 5 ptas,Audi,A3
Capital federal,Ciudad Autónoma de Bs.As.,2003,Sedan 5 puertas,Volkswagen,Gol
Capital federal,Ciudad Autónoma de Bs.As.,2012,Sedan 5 ptas,Renault,Sandero
Capital federal,Ciudad Autónoma de Bs.As.,2016,Sedan 5 puertas,Volkswagen,Black
Capital federal,Ciudad Autónoma de Bs.As.,2016,Sedan 5 puertas,Mercedes benz,B200
Cordoba,Córdoba,2013,Sedan 5 ptas,Fiat,Qubo
Capital federal,Ciudad Autónoma de Bs.As.,2018,Sedan 5 puertas,Chevrolet,Onix
Capital federal,Ciudad Autónoma de Bs.As.,2008,Sedan 5 ptas,Volkswagen,Gol
Capital federal,Ciudad Autónoma de Bs.As.,2011,Sedan 5 ptas,Volkswagen,Gol
Capital federal,Ciudad Autónoma de Bs.As.,1997,Sedan 5 ptas,Ford,Fiesta
Capital federal,Ciudad Autónoma de Bs.As.,2018,Sedan 5 puertas,Chevrolet,Onix
Capital federal,Ciudad Autónoma de Bs.As.,2018,Sedan 5 puertas,Volkswagen,Gol
Capital federal,Ciudad Autónoma de Bs.As.,2009,Sedan 5 ptas,Fiat,Punto
Capital federal,Ciudad Autónoma de Bs.As.,2013,Sedan 5 puertas,Chevrolet,Spin
Capital federal,Ciudad Autónoma de Bs.As.,2009,Sedan 5 ptas,Volkswagen,Gol
Capital federal,Ciudad Autónoma de Bs.As.,2013,Sedan 5 puertas,Citroen,Nuevo
Cordoba,Córdoba,2018,Sedan 5 puertas,Toyota,Etios
Cordoba,Córdoba,2008,Sedan 5 ptas,Volkswagen,Crossfox
Cordoba,Córdoba,2012,Sedan 5 ptas,Chevrolet,Meriva
Cordoba,Córdoba,2008,Sedan 5 puertas,Fiat,Punto
Cordoba,Córdoba,2013,Sedan 5 puertas,Ford,Fiesta
Cordoba,Córdoba,2011,Sedan 5 ptas,Ford,Fiesta
Cordoba,Córdoba,2008,Sedan 5 ptas,Fiat,Uno
Villa dolores,Córdoba,2014,Sedan 5 puertas,Volkswagen,Gol
Capital federal,Ciudad Autónoma de Bs.As.,2009,Sedan 5 puertas,Chevrolet,Meriva
Cordoba,Córdoba,2005,Sedan 5 ptas,Chevrolet,Astra
Capital federal,Ciudad Autónoma de Bs.As.,2017,Sedan 5 puertas,Chevrolet,Onix
Cordoba,Córdoba,2008,Sedan 5 ptas,Fiat,Punto
Cordoba,Córdoba,2005,Sedan 5 puertas,Chevrolet,Zafira
Cordoba,Córdoba,2018,Sedan 5 puertas,Volkswagen,Gol
Cordoba,Córdoba,2021,Sedan 5 puertas,Nissan,Kicks
Alta gracia,Córdoba,2021,Sedan 5 puertas,Volkswagen,Gol
Capital federal,Ciudad Autónoma de Bs.As.,2011,Sedan 5 ptas,Mercedes benz,B180
Capital federal,Ciudad Autónoma de Bs.As.,2006,Sedan 5 ptas,Audi,A3
Jesus maria,Córdoba,2011,Sedan 5 ptas,Fiat,Uno
Ezeiza,Buenos Aires,2014,Sedan 5 puertas,Citroen,Nuevo
San martin,Buenos Aires,2020,Sedan 5 puertas,Chevrolet,Onix
Lanus,Buenos Aires,2018,Sedan 5 puertas,Peugeot,208
La matanza,Buenos Aires,2018,Sedan 5 puertas,Renault,Kwid
La matanza,Buenos Aires,2017,Sedan 5 puertas,Renault,Nuevo
La matanza,Buenos Aires,2006,Sedan 5 ptas,Volkswagen,Golf
La matanza,Buenos Aires,2007,Sedan 5 ptas,Chevrolet,Astra
Quilmes,Buenos Aires,2007,Sedan 5 ptas,Renault,Megane
Jose c. paz,Buenos Aires,2009,Sedan 5 ptas,Volkswagen,Gol
Quilmes,Buenos Aires,2016,Sedan 5 puertas,Fiat,Mobi
Merlo,Buenos Aires,2002,Sedan 5 puertas,Citroen,Xsara
Lanus,Buenos Aires,2012,Sedan 5 ptas,Volkswagen,Crossfox
Moreno,Buenos Aires,2002,Sedan 5 ptas,Renault,Megane
Jose c. paz,Buenos Aires,2011,Sedan 5 puertas,Volkswagen,Gol
Ituzaingo,Buenos Aires,2009,Sedan 5 ptas,Fiat,Palio
Jose c. paz,Buenos Aires,2011,Sedan 5 ptas,Volkswagen,Gol
Jose c. paz,Buenos Aires,1998,Sedan 5 ptas,Volkswagen,Golf
Pilar,Buenos Aires,2017,Sedan 5 puertas,Volkswagen,Gol
Jose c. paz,Buenos Aires,2011,Sedan 5 ptas,Volkswagen,Gol
La plata,Buenos Aires,2013,Sedan 5 puertas,Volkswagen,Gol
Ezeiza,Buenos Aires,2002,Sedan 5 ptas,Fiat,Uno
Lanus,Buenos Aires,2017,Sedan 5 puertas,Renault,Nuevo
Quilmes,Buenos Aires,2006,Sedan 5 ptas,Renault,Megane
Trenque lauquen,Buenos Aires,2015,Sedan 5 puertas,Chevrolet,Cruze
Moreno,Buenos Aires,2013,Sedan 5 puertas,Renault,Sandero
Merlo,Buenos Aires,2012,Sedan 5 ptas,Chevrolet,Meriva
Tigre,Buenos Aires,2019,Sedan 5 puertas,Volkswagen,Polo
Merlo,Buenos Aires,1998,Sedan 5 puertas,Volkswagen,Gol
Mar del plata,Buenos Aires,2010,Sedan 5 puertas,Fiat,Idea
Moreno,Buenos Aires,2007,Sedan 5 puertas,Volkswagen,Gol
Moreno,Buenos Aires,2014,Sedan 5 puertas,Renault,Sandero
Lanus,Buenos Aires,2012,Sedan 5 ptas,Volkswagen,Gol
Moreno,Buenos Aires,2017,Sedan 5 puertas,Volkswagen,Gol
San martin,Buenos Aires,2012,Sedan 5 puertas,Volkswagen,Fox
Merlo,Buenos Aires,2008,Sedan 5 ptas,Volkswagen,Gol
Merlo,Buenos Aires,2017,Sedan 5 puertas,Ford,Ka
Merlo,Buenos Aires,2007,Sedan 5 ptas,Volkswagen,Crossfox
Merlo,Buenos Aires,2016,Sedan 5 puertas,Fiat,Palio
Moreno,Buenos Aires,2011,Sedan 5 puertas,Audi,A3
Merlo,Buenos Aires,2019,Sedan 5 puertas,Peugeot,208
Quilmes,Buenos Aires,2013,Sedan 5 puertas,Volkswagen,Gol
Quilmes,Buenos Aires,2019,Sedan 5 puertas,Volkswagen,Gol
La matanza,Buenos Aires,1995,Sedan 5 puertas,Fiat,Tipo
Merlo,Buenos Aires,1999,Sedan 5 puertas,Volkswagen,Gol
Adrogue,Buenos Aires,2009,Sedan 5 ptas,Volkswagen,Gol
Jose c. paz,Buenos Aires,2015,Sedan 5 puertas,Chevrolet,Spin
La matanza,Buenos Aires,2012,Sedan 5 puertas,Volkswagen,Gol
Hurlingham,Buenos Aires,2018,Sedan 5 puertas,Peugeot,208
Esteban echeverria,Buenos Aires,2012,Sedan 5 ptas,Bmw,118i
Lomas de zamora,Buenos Aires,2013,Sedan 5 puertas,Citroen,Nuevo
Ituzaingo,Buenos Aires,2008,Sedan 5 puertas,Citroen,Xsara
Esteban echeverria,Buenos Aires,2014,Sedan 5 puertas,Peugeot,208
La matanza,Buenos Aires,2017,Sedan 5 puertas,Chevrolet,Onix
San martin,Buenos Aires,1997,Sedan 5 puertas,Alfa romeo,146
Campana,Buenos Aires,2008,Sedan 5 puertas,Volkswagen,Gol
Lomas de zamora,Buenos Aires,2007,Sedan 5 ptas,Citroen,C3
Capital federal,Ciudad Autónoma de Bs.As.,1998,Sedan 5 ptas,Chevrolet,Corsa
Ituzaingo,Buenos Aires,2004,Sedan 5 puertas,Volkswagen,Gol
Adrogue,Buenos Aires,2018,Sedan 5 puertas,Ford,Ka
Adrogue,Buenos Aires,2012,Sedan 5 ptas,Citroen,Xsara
Tigre,Buenos Aires,2018,Sedan 5 puertas,Renault,Kwid
Lomas de zamora,Buenos Aires,2009,Sedan 5 ptas,Renault,Scenic
Ezeiza,Buenos Aires,2016,Sedan 5 puertas,Chevrolet,Spin
Pilar,Buenos Aires,2000,Sedan 5 puertas,Volkswagen,Golf
Ezeiza,Buenos Aires,2006,Sedan 5 ptas,Fiat,Palio
La matanza,Buenos Aires,2013,Sedan 5 ptas,Chevrolet,Sonic
Esteban echeverria,Buenos Aires,2009,Sedan 5 puertas,Renault,Sandero
Hurlingham,Buenos Aires,2008,Sedan 5 puertas,Fiat,Punto
Hurlingham,Buenos Aires,2014,Sedan 5 puertas,Renault,Sandero
Mendoza,Mendoza,2018,Rural 5 puertas,Ford,Ecosport
Santa fe,Santa Fe,2009,Rural 5 ptas,Ford,Ecosport
Villa gobernador gálvez,Santa Fe,2005,Rural 5 ptas,Volkswagen,Gol
Rosario,Santa Fe,1999,Rural 5 ptas,Chevrolet,Blazer
Mendoza,Mendoza,2015,Rural 5 puertas,Ford,Ecosport
Mendoza,Mendoza,2016,Rural 5 puertas,Ford,Ecosport
Maipú,Mendoza,2009,Rural 5 ptas,Citroen,Grand
San carlos de bariloche,Río Negro,2014,Rural 5 puertas,Ford,Ecosport
Maipu,Mendoza,2008,Rural 5 ptas,Chery,Tiggo
Arroyo seco,Santa Fe,1999,Rural 5 ptas,Fiat,Palio
Rio gallegos,Santa Cruz,2012,Rural 5 ptas,Renault,Duster
Mendoza,Mendoza,2016,Rural 5 puertas,Renault,Duster
Rosario,Santa Fe,2004,Rural 5 puertas,Ford,Ecosport
Mendoza,Mendoza,2005,Rural 5 ptas,Ford,Ecosport
Mendoza,Mendoza,2010,Rural 5 ptas,Ford,Ecosport
Neuquen,Neuquén,2013,Rural 5 puertas,Ford,Ecosport
Rosario,Santa Fe,2008,Rural 5 ptas,Ford,Ecosport
Arroyo seco,Santa Fe,2013,Rural 5 puertas,Ford,Ecosport
Mendoza,Mendoza,1999,Rural 5 ptas,Chevrolet,Blazer
Lomas de zamora,Buenos Aires,2001,Rural 5 puertas,Chevrolet,Blazer
Berazategui,Buenos Aires,1997,Rural 5 ptas,Chevrolet,Blazer
La matanza,Buenos Aires,2012,Rural 5 ptas,Citroen,C3
La matanza,Buenos Aires,2018,Rural 5 puertas,Renault,Captur
Esteban echeverria,Buenos Aires,2013,Rural 5 puertas,Ford,Ecosport
Esteban echeverria,Buenos Aires,2021,Rural 5 puertas,Citroen,C3
Quilmes,Buenos Aires,2023,Rural 5 puertas,Jeep,Renegade
La matanza,Buenos Aires,2004,Rural 5 ptas,Ford,Ecosport
Carmen de areco,Buenos Aires,2016,Rural 5 puertas,Renault,Duster
La matanza,Buenos Aires,2012,Rural 5 ptas,Ford,Ecosport
Moron,Buenos Aires,2009,Rural 5 ptas,Ford,Ecosport
Avellaneda,Buenos Aires,2011,Rural 5 puertas,Ford,Ecosport
Olavarria,Buenos Aires,2016,Rural 5 puertas,Chevrolet,Captiva
Tres de febrero,Buenos Aires,2018,Rural 5 puertas,Ford,Ecosport
Tres de febrero,Buenos Aires,2011,Rural 5 ptas,Ford,Ecosport
Ituzaingo nº 1 (ex. moron nº 8),Buenos Aires,2021,Rural 5 puertas,Chevrolet,Tracker
San martin,Buenos Aires,2008,Rural 5 ptas,Ford,Ecosport
Ituzaingo nº 1 (ex. moron nº 8),Buenos Aires,2006,Rural 5 ptas,Volkswagen,Gol
Malvinas argentinas nº 1 (ex. san miguel nro. 4),Buenos Aires,2022,Rural 5 puertas,Jeep,Compass
Moron,Buenos Aires,2020,Rural 5 puertas,Ford,Ecosport
La matanza,Buenos Aires,2018,Rural 5 puertas,Chery,Tiggo
Lanus,Buenos Aires,2013,Rural 5 puertas,Ford,Ecosport
Merlo,Buenos Aires,1998,Rural 5 ptas,Chevrolet,Corsa
Moron,Buenos Aires,2005,Rural 5 ptas,Volkswagen,Gol
Malvinas argentinas nº 1 (ex. san miguel nro. 4),Buenos Aires,2004,Rural 5 ptas,Ford,Ecosport
Moron,Buenos Aires,2013,Rural 5 puertas,Renault,Duster
La plata,Buenos Aires,2013,Rural 5 ptas,Ford,Ecosport
Quilmes,Buenos Aires,2005,Rural 5 puertas,Ford,Ecosport
Olivos,Buenos Aires,2006,Rural 5 ptas,Volkswagen,Gol
Merlo,Buenos Aires,2012,Rural 5 ptas,Citroen,C3
San isidro,Buenos Aires,2012,Rural 5 ptas,Dodge,Journey
La matanza,Buenos Aires,2017,Rural 5 puertas,Renault,Duster
La matanza,Buenos Aires,2008,Rural 5 puertas,Volkswagen,Volkswagen
Moron,Buenos Aires,2010,Rural 5 ptas,Ford,S-max
Berazategui,Buenos Aires,2005,Rural 5 ptas,Ford,Ecosport
Moron,Buenos Aires,2004,Rural 5 ptas,Volkswagen,Gol
La matanza,Buenos Aires,2015,Rural 5 puertas,Renault,Duster
Merlo,Buenos Aires,2006,Rural 5 ptas,Volkswagen,Gol
Quilmes,Buenos Aires,2014,Rural 5 puertas,Chery,Tiggo
Avellaneda,Buenos Aires,2022,Rural 5 puertas,Jeep,Renegade
Mercedes,Buenos Aires,2012,Rural 5 ptas,Chery,Tiggo
Lanus,Buenos Aires,2009,Rural 5 ptas,Hyundai,Tucson
Berazategui,Buenos Aires,2011,Rural 5 ptas,Ford,Ecosport
Mar del plata,Buenos Aires,2006,Rural 5 ptas,Ford,Ecosport
Malvinas argentinas nº 1 (ex. san miguel nro. 4),Buenos Aires,2003,Rural 5 ptas,Ford,Ecosport
Tres de febrero,Buenos Aires,2017,Rural 5 puertas,Chery,Tiggo
La matanza,Buenos Aires,2015,Rural 5 puertas,Chery,Tiggo
Lomas de zamora,Buenos Aires,2023,Rural 5 puertas,Jeep,Compass
Lomas de zamora,Buenos Aires,2010,Rural 5 ptas,Ford,Ecosport
La plata,Buenos Aires,2018,Rural 5 puertas,Jeep,Renegade
Merlo,Buenos Aires,2011,Rural 5 ptas,Ford,Ecosport
Tigre,Buenos Aires,2003,Rural 5 ptas,Volkswagen,Gol
San martin,Buenos Aires,2006,Rural 5 ptas,Ford,Ecosport
Moron,Buenos Aires,2012,Rural 5 ptas,Chery,Tiggo
Moron,Buenos Aires,2011,Rural 5 ptas,Fiat,Palio
La matanza,Buenos Aires,2017,Rural 5 puertas,Kia,Sportage
La matanza,Buenos Aires,2020,Rural 5 puertas,Volkswagen,T-cross
La matanza,Buenos Aires,2013,Rural 5 puertas,Renault,Duster
La matanza,Buenos Aires,2006,Rural 5 puertas,Toyota,Corolla
Moreno,Buenos Aires,2011,Rural 5 ptas,Dodge,Journey
Lomas de zamora,Buenos Aires,2018,Rural 5 puertas,Ford,Ecosport
San nicolas,Buenos Aires,2004,Rural 5 ptas,Ford,Ecosport
San vicente,Buenos Aires,2014,Rural 5 puertas,Chevrolet,Chevrolet
Olivos,Buenos Aires,2014,Rural 5 puertas,Renault,Duster
Adrogue,Buenos Aires,2013,Rural 5 puertas,Ford,Ecosport
Florencio varela,Buenos Aires,2001,Rural 5 ptas,Peugeot,306
San miguel,Buenos Aires,2013,Rural 5 ptas,Dodge,Journey
La matanza,Buenos Aires,2015,Rural 5 puertas,Fiat,Weekend
La matanza,Buenos Aires,2008,Rural 5 puertas,Fiat,Palio
San miguel,Buenos Aires,2004,Rural 5 ptas,Ford,Ecosport
Lanus,Buenos Aires,2020,Rural 5 puertas,Jeep,Renegade
La matanza,Buenos Aires,2011,Rural 5 ptas,Peugeot,3008
Moron,Buenos Aires,2017,Rural 5 puertas,Renault,Duster
Berazategui,Buenos Aires,2010,Rural 5 ptas,Dodge,Journey
Avellaneda,Buenos Aires,2004,Rural 5 ptas,Ford,Ecosport
Merlo,Buenos Aires,2006,Rural 5 ptas,Fiat,Palio
San martin,Buenos Aires,2009,Rural 5 puertas,Ford,Ecosport
General rodriguez,Buenos Aires,2006,Rural 5 ptas,Volkswagen,Gol
Avellaneda,Buenos Aires,2010,Rural 5 ptas,Ford,Ecosport
La plata,Buenos Aires,2019,Rural 5 puertas,Renault,Duster
La plata,Buenos Aires,2006,Rural 5 ptas,Ford,Ecosport
La matanza,Buenos Aires,2009,Rural 5 ptas,Chery,Tiggo
Avellaneda,Buenos Aires,2021,Rural 5 puertas,Volkswagen,T-cross
San miguel,Buenos Aires,2013,Rural 5 ptas,Dodge,Journey
San miguel,Buenos Aires,2007,Rural 5 ptas,Peugeot,307
San miguel,Buenos Aires,2007,Rural 5 puertas,Volkswagen,Gol
Olivos,Buenos Aires,2004,Rural 5 ptas,Ford,Ecosport
Malvinas argentinas nº 2 (ex. san miguel nro. 5),Buenos Aires,2017,Rural 5 puertas,Jeep,Renegade
La plata,Buenos Aires,2005,Rural 5 ptas,Ford,Ecosport
San martin,Buenos Aires,2009,Rural 5 ptas,Chery,Tiggo
La matanza,Buenos Aires,2012,Rural 5 ptas,Chery,Tiggo
San martin,Buenos Aires,1992,Rural 5 ptas,Fiat,Duna
Malvinas argentinas nº 2 (ex. san miguel nro. 5),Buenos Aires,1998,Rural 5 puertas,Chevrolet,Blazer
San miguel,Buenos Aires,2008,Rural 5 ptas,Ford,Ecosport
Moron,Buenos Aires,2007,Rural 5 ptas,Volkswagen,Gol
Moron,Buenos Aires,2006,Rural 5 ptas,Ford,Ecosport
Florencio varela,Buenos Aires,2014,Rural 5 puertas,Ford,Kuga
Moron,Buenos Aires,2013,Rural 5 puertas,Renault,Duster
Esteban echeverria,Buenos Aires,2015,Rural 5 puertas,Renault,Duster
Esteban echeverria,Buenos Aires,2011,Rural 5 ptas,Volkswagen,Gol
La matanza,Buenos Aires,2005,Rural 5 ptas,Peugeot,307
Tres de febrero,Buenos Aires,2011,Rural 5 ptas,Chery,Tiggo
Malvinas argentinas nº 1 (ex. san miguel nro. 4),Buenos Aires,2006,Rural 5 ptas,Volkswagen,Gol
Mar del plata,Buenos Aires,2013,Rural 5 puertas,Ford,Ecosport
Avellaneda,Buenos Aires,2017,Rural 5 puertas,Chevrolet,Chevrolet
Tres de febrero,Buenos Aires,2013,Rural 5 puertas,Ford,Ecosport
San martin,Buenos Aires,2017,Rural 5 puertas,Jeep,Renegade
La matanza,Buenos Aires,2012,Rural 5 puertas,Renault,Duster
Tres de febrero,Buenos Aires,2003,Rural 5 ptas,Ford,Ecosport
La matanza,Buenos Aires,2013,Rural 5 puertas,Ford,Ecosport
Lomas de zamora,Buenos Aires,2021,Rural 5 puertas,Chevrolet,Tracker
Malvinas argentinas nº 1 (ex. san miguel nro. 4),Buenos Aires,2013,Rural 5 puertas,Ford,Ecosport
Avellaneda,Buenos Aires,2006,Rural 5 puertas,Volkswagen,Sharan
Tres de febrero,Buenos Aires,2004,Rural 5 ptas,Volkswagen,Gol
Lomas de zamora,Buenos Aires,2012,Rural 5 ptas,Chery,Tiggo
Zarate,Buenos Aires,2007,Rural 5 ptas,Volkswagen,Sharan
La plata,Buenos Aires,2018,Rural 5 puertas,Haval,H2
Merlo,Buenos Aires,2014,Rural 5 puertas,Ford,Ecosport
Jose c. paz,Buenos Aires,2015,Rural 5 puertas,Ford,Ecosport
Moreno,Buenos Aires,1997,Rural 5 puertas,Chevrolet,Corsa
Lomas de zamora,Buenos Aires,2006,Rural 5 ptas,Ford,Ecosport
Ensenada,Buenos Aires,2006,Rural 5 ptas,Volkswagen,Gol
Jose c. paz,Buenos Aires,2005,Rural 5 ptas,Volkswagen,Gol
Quilmes,Buenos Aires,2013,Rural 5 puertas,Renault,Duster
Capital federal,Ciudad Autónoma de Bs.As.,2004,Rural 5 ptas,Ford,Ecosport
Capital federal,Ciudad Autónoma de Bs.As.,2006,Rural 5 ptas,Volkswagen,Gol
Campana,Buenos Aires,2013,Rural 5 puertas,Dodge,Journey
Cordoba,Córdoba,2007,Rural 5 puertas,Ford,Ecosport
Lomas de zamora,Buenos Aires,2018,Rural 5 puertas,Renault,Duster
Capital federal,Ciudad Autónoma de Bs.As.,2006,Rural 5 puertas,Volkswagen,Gol
Ensenada,Buenos Aires,2007,Rural 5 puertas,Peugeot,206
Avellaneda,Buenos Aires,2013,Rural 5 puertas,Peugeot,3008
Capital federal,Ciudad Autónoma de Bs.As.,2011,Rural 5 ptas,Dodge,Journey
Jose c. paz,Buenos Aires,2006,Rural 5 ptas,Ford,Ecosport
Capital federal,Ciudad Autónoma de Bs.As.,2010,Rural 5 puertas,Dodge,Journey
Campana,Buenos Aires,2008,Rural 5 ptas,Ford,Ecosport
Cordoba,Córdoba,2007,Rural 5 ptas,Ford,Ecosport
Lomas de zamora,Buenos Aires,2012,Rural 5 ptas,Chery,Tiggo
Merlo,Buenos Aires,2006,Rural 5 ptas,Volkswagen,Gol
Quilmes,Buenos Aires,2013,Rural 5 puertas,Ford,Ecosport
Lanus,Buenos Aires,2020,Rural 5 puertas,Jeep,Renegade
Quilmes,Buenos Aires,2019,Rural 5 puertas,Jeep,Renegade
Capital federal,Ciudad Autónoma de Bs.As.,2008,Rural 5 ptas,Ford,Ecosport
Cordoba,Córdoba,2020,Rural 5 puertas,Jeep,Compass
Capital federal,Ciudad Autónoma de Bs.As.,2011,Rural 5 ptas,Dodge,Journey
Quilmes,Buenos Aires,2021,Rural 5 puertas,Jeep,Compass
Capital federal,Ciudad Autónoma de Bs.As.,1997,Rural 5 ptas,Mitsubishi,Space
Quilmes nº 5 (ex 9),Buenos Aires,2005,Rural 5 ptas,Volkswagen,Gol
Quilmes,Buenos Aires,2011,Rural 5 puertas,Fiat,Palio
Capital federal,Ciudad Autónoma de Bs.As.,2022,Rural 5 puertas,Chevrolet,Tracker
Capital federal,Ciudad Autónoma de Bs.As.,2011,Rural 5 puertas,Ford,Ecosport
Cordoba,Córdoba,2005,Rural 5 ptas,Fiat,Palio
Lomas de zamora,Buenos Aires,2011,Rural 5 ptas,Chery,Tiggo
Quilmes nº 5 (ex 9),Buenos Aires,2018,Rural 5 puertas,Ford,Ecosport
San martin,Buenos Aires,2013,Rural 5 puertas,Chery,Tiggo
Cordoba,Córdoba,2013,Rural 5 ptas,Ford,Ecosport
Cordoba,Córdoba,2006,Rural 5 ptas,Fiat,Palio
Cordoba,Córdoba,2009,Rural 5 ptas,Ford,Ecosport
Capital federal,Ciudad Autónoma de Bs.As.,2019,Rural 5 puertas,Jeep,Renegade
Lanus,Buenos Aires,2022,Rural 5 puertas,Ford,Ecosport
Capital federal,Ciudad Autónoma de Bs.As.,2019,Rural 5 puertas,Volkswagen,Tiguan
Hurlingham,Buenos Aires,2006,Rural 5 puertas,Ford,Ecosport
Pilar,Buenos Aires,2010,Rural 5 ptas,Chery,Tiggo
Moreno,Buenos Aires,2005,Rural 5 puertas,Volkswagen,Gol
Villa maria,Córdoba,2008,Rural 5 puertas,Volkswagen,Gol
Moreno,Buenos Aires,1999,Rural 5 puertas,Chevrolet,Blazer
Cordoba,Córdoba,2010,Rural 5 ptas,Dodge,Journey
Adrogue,Buenos Aires,2013,Rural 5 puertas,Fiat,Palio
Tigre,Buenos Aires,2011,Rural 5 ptas,Dodge,Journey
Capital federal,Ciudad Autónoma de Bs.As.,2007,Rural 5 ptas,Renault,Megane
Capital federal,Ciudad Autónoma de Bs.As.,2018,Rural 5 puertas,Ford,Ecosport
Mar del plata,Buenos Aires,2007,Rural 5 ptas,Ford,Ecosport
Capital federal,Ciudad Autónoma de Bs.As.,2012,Rural 5 ptas,Ford,Ecosport
La matanza,Buenos Aires,2008,Rural 5 ptas,Chery,Tiggo
La matanza,Buenos Aires,2012,Rural 5 ptas,Chery,Tiggo
Jose c. paz,Buenos Aires,2010,Rural 5 ptas,Volkswagen,Gol
Pilar,Buenos Aires,2018,Rural 5 puertas,Volkswagen,Tiguan
Capital federal,Ciudad Autónoma de Bs.As.,2018,Rural 5 puertas,Renault,Duster
Cordoba,Córdoba,2007,Rural 5 ptas,Fiat,Palio
Capital federal,Ciudad Autónoma de Bs.As.,2013,Rural 5 puertas,Citroen,C3
La matanza,Buenos Aires,2005,Rural 5 puertas,Fiat,Palio
Capital federal,Ciudad Autónoma de Bs.As.,2013,Rural 5 puertas,Renault,Duster
Capital federal,Ciudad Autónoma de Bs.As.,2021,Rural 5 puertas,Volkswagen,T-cross
Capital federal,Ciudad Autónoma de Bs.As.,2010,Rural 5 ptas,Volkswagen,Gol
Capital federal,Ciudad Autónoma de Bs.As.,2013,Rural 5 puertas,Citroen,C3
Capital federal,Ciudad Autónoma de Bs.As.,1997,Rural 5 puertas,Chevrolet,Corsa
Capital federal,Ciudad Autónoma de Bs.As.,2010,Rural 5 ptas,Ford,Ecosport
Capital federal,Ciudad Autónoma de Bs.As.,2018,Rural 5 puertas,Chevrolet,Chevrolet
Capital federal,Ciudad Autónoma de Bs.As.,2022,Rural 5 puertas,Jeep,Renegade
Comodoro rivadavia,Chubut,2012,Rural 5 ptas,Ford,Ecosport
Malvinas argentinas,Buenos Aires,2006,Rural 5 ptas,Volkswagen,Gol
Moreno,Buenos Aires,2007,Rural 5 ptas,Ford,Ecosport
Malvinas argentinas,Buenos Aires,2011,Rural 5 ptas,Ford,Ecosport
La matanza,Buenos Aires,2005,Rural 5 ptas,Volkswagen,Gol
La calera,Córdoba,2021,Rural 5 puertas,Ford,Ecosport
Cordoba,Córdoba,2023,Rural 5 puertas,Jeep,Compass
La matanza,Buenos Aires,2010,Rural 5 ptas,Fiat,Palio
Adrogue,Buenos Aires,2017,Rural 5 puertas,Jeep,Renegade
Malvinas argentinas,Buenos Aires,2012,Rural 5 puertas,Renault,Duster
Gualeguaychu,Entre Ríos,2007,Rural 5 ptas,Volkswagen,Gol
Cordoba,Córdoba,2010,Rural 5 puertas,Fiat,Palio
Cordoba,Córdoba,2020,Rural 5 puertas,Citroen,C3
Jose c. paz,Buenos Aires,2004,Rural 5 puertas,Ford,Ecosport
La matanza,Buenos Aires,2004,Rural 5 puertas,Ford,Ecosport
Pilar,Buenos Aires,2004,Rural 5 ptas,Volkswagen,Gol
Pilar,Buenos Aires,2005,Rural 5 ptas,Volkswagen,Gol
